,label,text
3029,ок,удобно
5487,ок,
3727,ок,
2983,ок,
7605,ок,
894,были проблемы,вылетать ошибка 500nприходилось перезагружать страница этап оформление
6706,профили,заполнение контактный данные владелец
4437,ок,вроде нормально продолжать улучшать
8229,интерфейс,новый дизайн нравиться слово
4422,ок,
2109,непонятно,новичок приходиться подумать идти авось
2328,непонятно,покупка домен сразу купить хостинг видимо разбираться нажимать результат купить домен
1354,интерфейс,появляться окно привязка данные зарегистрировать домен новый версия лк невозможно сменить пароль догадка смениться форма отрабатывать следующий попытка старый пароль подходить
4636,ок,четко
476,нет категории,1
3609,ок,
3705,ок,делать делать четенько
6184,поддержка,справка доменный зона
1514,интерфейс,нанимать хороший ux дизайнер полностью перерабатывать логика интерфейс
5552,ок,хороший сервис успех процветание
4698,ок,
6058,оплата,сожаление получать информация платеж отменять платежный система изза приходиться оформлять обращение техподдержка ждать ответ совершать платеж заново
6810,цена,цена
1475,интерфейс,оформление проходить успешно юзабиилити беда нужный опция находить трудомпк пример домен blackz регистрация удаваться подключать обещать бесплатный сертификат nс уважение
4678,ок,чудесно
8213,интерфейс,неудобно вернуть
6192,поддержка,онлайн помошник сайт нужный возможно сделать
7667,ок,круто
1142,донастройка,оставлять последовательность шаг регистрация отсутствие выбор персональный данные оплата сажать измена
8457,ок,удобно приятно смотреть
2603,ок,быстро понятно
6089,поддержка,плохочто телефон поддержкинепонятно dnsсерверамине понимаюкак настраиватья ряд вопросовбез телефон разбираться
8642,ок,ока
3578,ок,понятно удобно
1094,донастройка,завершать настройка приобретать услуга крайне непонятный сомнительный шаг проблема взять давать аккаунт сразу уточнять давать заказ услуга странно непонятно неудобный
1739,много данных,поле хостинг
854,были проблемы,загружаться
7198,донастройка,сразу выбирать днс настройка
5286,ок,кайф
3622,ок,
4906,ок,отлично
327,нет категории,мобильный приложение сильно хватать
4511,ок,крутой сайт
4397,ок,отлично
4366,ок,
4994,ок,забота пользователь
3713,ок,молодец элементарно
3879,ок,здравствовать благодарить настроенный услуга признательный помогать дальнейший
3211,ок,5
1867,много данных,дофиг инф
3250,ок,
1881,много данных,спрашивать личный данные
7242,навязывание услуг,новичок желательно сделать пояснение ко допродавать продукт даеют нужный
203,нет категории,ostubuntu1404x86 _ 64
8506,ок,большой
5744,ок,хорощо
6932,SSL,ssl
2823,ок,отлы
2072,непонятно,муторно
2619,ок,понятный
8960,профили,сбивать толк окно выбор контакт эл почта повторяться данные склеивать сразу понятно дозаполнять конец
6345,профили,вводить свой данные деваться
4806,ок,впервые сайт хороший
1855,много данных,поле
4356,ок,ok
5334,ок,хороший
1476,интерфейс,сложный навигация
