,label,text
0,нет категории,почаще улыбаться)))
1,много данных,Не зачем Вам мой паспорт
2,нет категории,Тест
3,нет категории,yjhbfg
4,нет категории,",,,"
5,нет категории,не могу каректно определить я первыраз тут
6,нет категории,!!!!!!!!!!!!!!!!!!!
7,нет категории,В первый раз дали не правильный договор. Из-за этого пришлось 3 раза ездить в офис к вам
8,нет категории,s
9,нет категории,1
10,нет категории,ропро
11,нет категории,не звонить с вопросом почему на...х
12,нет категории,хабиб сила
13,нет категории,1
14,нет категории,кер
15,нет категории,.
16,нет категории,123refgvdwqsdc
17,нет категории,0хтлн0!
18,нет категории,"Дока-2, увольте его, пусть не позорится."
19,нет категории,Только похвалил и сразу разочарование)
20,нет категории,суки
21,нет категории,я дагестанец
22,нет категории,123
23,нет категории,https://media.giphy.com/media/P0RWkdsRpK7ss/giphy.gif
24,нет категории,уккккккккккккккккккккккккккккккккккккккк
25,нет категории,Э
26,нет категории,службу поддержки онлайн
27,нет категории,-
28,нет категории,?
29,нет категории,Зачем это нужно
30,нет категории,отъебитесь
31,нет категории,"В доменном имени в счете исчезла последняя буква,  исправить нет возможности"
32,нет категории,Убрать совсем
33,нет категории,пвапавп
34,нет категории,возврат к выброному  домену после оплаты
35,нет категории,dct
36,нет категории,"При регистрации домена появилась форма заявки на почту GSuite, хотя не помню, чтобы я её выбирал (ставил галочку в нужном поле)."
37,нет категории,Связь
38,нет категории,"Если можно - уберите пункт про SMS, я стараюсь ими не пользоваться (привязывать личную симку не вижу смысла, а с корпоративной у меня настроена переадресация вызовов и sms не проходит...)."
39,нет категории,"30 дней тестирования и лучше Host-0 от 50 рублей в месяц (2 гб ssd, 1 сайт, безлимит бд, баз данных, псевдонимов и трафика, и Поддержка PHP, MySQL, Perl, Python и NodeJS"
40,нет категории,----
41,нет категории,hgum7ir67
42,нет категории,"предварительную инструкцию - как и чего сделать, прочитать до оформления"
43,нет категории,Инн нужно указать? 
44,нет категории,Продлевать автоматически
45,нет категории,s
46,нет категории,"Упростить процедуру подписания договора, чтобы было достаточно для оформления счета иметь сканы договора, а уже потом обмениваться оригиналами"
47,нет категории,БОЛЬШЕ ДОМЕНОВ!
48,нет категории,херня какая то и бредовые вопросы
49,нет категории,не заебывать вопросами типа этого. лол
50,нет категории,2
51,нет категории,убрать ненужные вопросы
52,нет категории,?
53,нет категории,"Указано поле ""Телефон"". Он упорно не принимает городские номера. Оказалось, что номер для SMS-информирования, и поэтому должен быть мобильным. Было бы круто изначально об этом написать в форме"
54,нет категории,Быструю отправку сообщений
55,нет категории,Зачем в целом нужен этот опрос?
56,нет категории,ненавижу вас!
57,нет категории,Не блокировать мои хостинги. Ну пожалуйста =\\
58,нет категории,d
59,нет категории,Взять меня на работу)
60,нет категории,Взять меня на работу!)
61,нет категории,хз зачем это было заполнять
62,нет категории,"долго обновляется инфа по освобожденным доменам, что он занят. в итоге промучались с покупкой"
63,нет категории,полный пипец - телефон вбил с 10 раза и то разделив смс и телефон
64,нет категории,ХВАТИТ БЛОКИРОВАТЬ(9(
65,нет категории,dsds
66,нет категории,Дать описание для чего нужен и полезен хостинг
67,нет категории,Уменьшить объём данных...
68,нет категории,орнелг
69,нет категории,ХЗ
70,нет категории,Указать какие CMS каких версий доступны на данном тарифе
71,нет категории,1
72,нет категории,54654
73,нет категории,мсчмсчмсчмчсмсс
74,нет категории,IDE редактор
75,нет категории,Что бы доступ к сайту работал без VPN из Турции.
76,нет категории,tjr
77,нет категории,"'k,'./"
78,нет категории,Было бы здорово подключать одной кнопкой почтовый сервис(mail.ru или yandex.ru) на домен одной кнопкой.))
79,нет категории,"не прописался полностью домен, почему-то обрезалось окончание."
80,нет категории,"Предложить свим сотрудникам покупать квартиры многократно дешевле, чем чер е нашенскую хипотеку , обращайтесь 123abc.ru"
81,нет категории,аааааааааааааааааааа
82,нет категории,Не спать.....
83,нет категории,ежемесячно перечислять на мой счет по 10 000 долларов.
84,нет категории,Поцелуйте меня
85,нет категории,хз
86,нет категории,Слишком много отзывов
87,нет категории,31211
88,нет категории,wf
89,нет категории,Доставлять кофе на дом :о)
90,нет категории,sdsd
91,нет категории,Не работает тест
92,нет категории,sdsdsd
93,нет категории,Можете сделать так что бы описание тем было сразу
94,нет категории,не знаю
95,нет категории,Вы задолбали! Почините тест!
96,нет категории,ебать в рот ркн
97,нет категории,Вышла путаница с телефонами
98,нет категории,связь подвела
99,нет категории,Трудиться.
100,нет категории,ХЗ
101,нет категории,"Сделайте возможность переименовать услугу) Если же такая возможность есть, как-то в более доступном месте её расположить что-ли?)) Не нашёл"
102,нет категории,Первый раз!
103,нет категории,ytityi
104,нет категории,Лучше информировать когда заканчивается срок домена. Из за своей невнимательности пропустил срок оплаты.
105,нет категории,ммм... подумайте сами
106,нет категории,С новым годом!!! Удачи в новом году и приятных акций для нас.
107,нет категории,Прислать чашечку горячего кофе))
108,нет категории,При покупки домена сразу покупку хостинга более понятной а то не совсем понятно что вы предлогаете
109,нет категории,Все
110,нет категории,пока не знаю.
111,нет категории,"Не понятно зачем мне нужно было привязывать номер телефона и еще что-то там, если у меня все уже привязано в личном кабинете много лет назад"
112,нет категории,не выдавались альтернативные имена доменов как это было раньше
113,нет категории,нтсн
114,нет категории,Сообщать электронно что Ваш заказ в оформлении
115,нет категории,хотел купить вордпресс на хостинге в итоге купил хостинг теперь покупать вп
116,нет категории,"пофиксить вебмастер яндекса ИКС именно для конструктора рег.ру,"
117,нет категории,Илтлили
118,нет категории,dct f[etyxbr
119,нет категории,музыку добавить
120,нет категории,!
121,нет категории,-
122,нет категории,cv
123,нет категории,приватный сделать акаунт для оформления
124,нет категории,"Было бы удобнее, если бы была возможность сравнить хостинги из двух разных наборов."
125,нет категории,не обманывать
126,нет категории,не знаю
127,нет категории,"Вы можете сделать мне скидку и масскажик, таким образом поздравив с новым годом."
128,нет категории,1
129,нет категории,Не добавлять просмотренные домены автоматически в невидимую корзину
130,нет категории,пожелать процветание моему домену
131,нет категории,подарите мне доку 2
132,нет категории,"Сделать оповещение по желанию на почту о том, что желаемый домен освободился"
133,нет категории,1
134,нет категории,gt
135,нет категории,-
136,нет категории,Отправлять документы отчётные документы на почту
137,нет категории,"не удобно искать домены, хочется иметь возможность видеть и выбирать зоны"
138,нет категории,"Финансировать и развивать интернет стартапы. Как, минимум предоставлять сервера для интересных проектов, взамен рекламы вашего бренда."
139,нет категории,.
140,нет категории,Домен не привязывается к личному кабинету
141,нет категории,j
142,нет категории,Организовать VPS-услуги
143,нет категории,Не приходят емейл сообщения со ссылкой для восстановления пароля
144,нет категории,Yt npyf.
145,нет категории,"В смс с кодом активации синим выделены цифры, и первоначально они воспринимаются за код активации, а это номер сессии))"
146,нет категории,"объяснить подробно какой именно имейл вставлять и зачем, потому что когда вставляешь gmail, он не пускает дальше. У многих нет адреса на хостинге"
147,нет категории,"Былоб круто, если бы вы сразу к домену, предлагали исполнителей, которые могли бы сделать сайт. И стоимость шаблонов. Мне вот интернет магазин нужен. Я бы в первую очередь ваших исполнителей посмотрел. А потом бы пошёл искать у других. А так сразу у других."
148,нет категории,Чтобы было побольше клиентов. Мой сайт был на первом месте в поисковике.
149,нет категории,Можно торжественно написать что домен перешел мне) типо оплатил и смотри в разделе доменов - у тебя новый появился.
150,нет категории,хз
151,нет категории,Более понятный и удобный конструктор от REG.RU в настройках сайта поможет думаю всем.
152,нет категории,"У меня возник только один вопрос: ограничение в 150 000 файлов - это много или мало? А быстро найти ответ не удалось... Если бы Вы смогли указать сколько файлов в среднем занимают популярные фрэймворки (скажем, laravel, drupal) - помогло бы понять лучше.\nНо, честно говоря, и так всё супер! Спасибо ))"
153,нет категории,1
154,нет категории,"kjhxcbvbxnkm,vcbxn,m  nx xmxnxbvdmvnxv nmxv"
155,нет категории,ы
156,нет категории,Уточнить по ОС Ubuntu LTS или не LTS ))
157,нет категории,При оплате банковской картой не нашел отключение автопродления. Найду позже в аккаунте.
158,нет категории,Удобно было бы если разработали клиент на андроид
159,нет категории,"может добавить плагин сколько доменов зарегистрировали за сутки, месяц, в россияне, ru , com \nили самые частые запросы whois, даже занятых доменов к примеру"
160,нет категории,1
161,нет категории,Сделайте срок бесплатного хостинга на год
162,нет категории,b
163,нет категории,покупка домена и хоста одним нажатием кнопки. затем закачка сайта второе нажатие кнопки
164,нет категории,fds
165,нет категории,Из письма кнопка «Ввести номер телефона» ведёт ни туда.\nПри оплате нужно трижды нажать кнопку «Оплатить»
166,нет категории,Мне нужно активировать свой домен после отмены хостинга.
167,нет категории,"asdasd\n\n\nasd""</textarea><img src=/ onerror=alert()>"
168,нет категории,6
169,нет категории,ip и домен как связать?
170,нет категории,"Пока не знаю, сам разбираюсь в этой теме."
171,нет категории,Написать характеристики сервера чтоб не запоминать их номера
172,нет категории,Летишопс не сработал(
173,нет категории,Прислать конфетки.
174,нет категории,"Я что, Юзер?"
175,нет категории,Почему у меня включено автопродление домена? При оформлении заявки на регистрацию нет такого пункта?
176,нет категории,"Стать другом,"
177,нет категории,4 дня не приходит письмо подтверждения безопасного сертификата
178,нет категории,w
179,нет категории,Здравствуйте! Можно перенести домен и 2а сайта на ваш хостинг? И что для этого нужно? Спасибо.
180,нет категории,Могу ли я позже переоформить владельца домена на ИП?
181,нет категории,тььььььььььь
182,нет категории,12345
183,нет категории,2аа
184,нет категории,Я 20 минут пыталась попасть в аккаунт! с вашей капчей это дурдом какой-то!!! Издевательство!!!!!!
185,нет категории,s
186,нет категории,УБРАТЬ ПРИВЯЗКУ ТЕЛЕФОНА
187,нет категории,смс приходит с опозданием
188,нет категории,письмо txt с SSL-сертификатом так и не пришло. В остальном все ок
189,нет категории,укнкркр
190,нет категории,ne udobniy blank
191,нет категории,1
192,нет категории,+
193,нет категории,безопасность
194,нет категории,Я так и не смог исправить настройку NOT DELGATED. А ещё промокод к SSL-сертификату не подхлдит. Куда именно и к какому тарифу его применить не понятно.
